Month,Active_day,Fav_count,retweet_count,tweet_count,reply_count,mention_count,quote_count,retweet_by_other_count
Dec-14,6,21225,0,10,0,0,0,15993
Dec-14,4,8932,0,5,0,0,0,6021
Nov-14,7,24578,0,10,0,0,0,20084
Nov-14,10,18011,0,20,0,0,0,9875
Oct-14,9,12643,1,12,0,0,0,9504
Oct-14,9,17656,0,17,0,0,0,13487
Sep-14,3,5157,1,5,0,0,0,4357
Sep-14,6,5920,0,6,0,0,0,5047
Aug-14,5,7611,0,7,2,0,0,4196
Aug-14,1,1332,0,1,0,0,0,738
Jul-14,0,0,0,0,0,0,0,0
Jul-14,1,1426,0,1,0,0,0,194
Apr-14,1,5275,0,1,0,0,0,4608
Apr-14,0,0,0,0,0,0,0,0
Jan-14,1,1212,0,1,0,0,0,695
Jan-14,2,5217,0,4,0,0,0,3736
Dec-13,2,3930,0,3,0,0,0,4259
Dec-13,1,2768,0,2,0,0,0,2669
Nov-13,1,1384,0,1,0,0,0,1551
Nov-13,1,18326,0,2,0,0,0,21929
Aug-13,0,0,0,0,0,0,0,0
Aug-13,1,2383,0,2,0,0,0,2641
Feb-13,0,0,0,0,0,0,0,0
Feb-13,2,2327,0,3,0,0,0,1652
Dec-12,1,9800,0,3,0,0,0,9546
Dec-12,0,0,0,0,0,0,0,0
Oct-12,0,0,0,0,0,0,0,0
Oct-12,2,1075,0,1,1,0,0,631
Sep-12,4,7498,0,6,1,0,0,5003
Sep-12,1,1074,0,2,0,0,0,979
Aug-12,4,4320,0,8,1,0,0,4693
Aug-12,10,4580,0,13,8,0,0,7825
Jul-12,3,1305,0,4,0,0,0,2418
Jul-12,6,2564,0,9,8,0,0,3982
