month(days),sd_like,sd_retweet,sd_tweet
03-2015 (<=15),1149.875776,0,0.894427191
02-2015 (>15),7498.75611,0.40824829,0.816496581
02-2015 (<=15),5327.012265,0.755928946,0.755928946
01-2015 (>15),1608.667927,0,0.707106781
01-2015 (<=15),498.5102807,0,0.707106781
12-2014 (>15),2551.183549,0,0.816496581
12-2014 (<=15),763.6871087,0,0.5
11-2014 (>15),2463.868329,0,0.534522484
11-2014 (<=15),2569.565266,0,2.160246899
10-2014 (>15),1004.412114,0.333333333,0.5
10-2014 (<=15),1355.514734,0,1.054092553
09-2014 (>15),1002.769664,0.577350269,0.577350269
09-2014 (<=15),324.2503148,0,0
08-2014 (>15),922.1101886,0,0.836660027
08-2014 (<=15),,,
07-2014 (>15),,,
07-2014 (<=15),,,
04-2014 (>15),,,
04-2014 (<=15),,,
01-2014 (>15),,,
01-2014 (<=15),294.8635278,0,0
12-2013 (>15),849.942351,0,0.707106781
12-2013 (<=15),,,
11-2013 (>15),,,
11-2013 (<=15),,,
08-2013 (>15),,,
08-2013 (<=15),,,
02-2013 (>15),,,
02-2013 (<=15),883.1763697,0,0.707106781
12-2012 (>15),,,
12-2012 (<=15),,,
10-2012 (>15),,,
10-2012 (<=15),562.149891,0,0
09-2012 (>15),1489.588422,0,0.957427108
09-2012 (<=15),,,
08-2012 (>15),902.7760889,0,1.892969449
08-2012 (<=15),354.1641176,0,1.370320319
07-2012 (>15),329.3311403,0,0.577350269
07-2012 (<=15),355.3238898,0,2.639444386
